client_id,name,industry,account_manager,signup_date
C101,Acme Corp,Retail,Sarah Lane,2023-05-20
C102,Bright Solutions,SaaS,Tom Waverly,2022-11-02
C103,Green Leaf Agency,Hospitality,Amara Singh,2024-01-15
C104,Smith PLC,Marketing,Brian Thomas,2023-02-26
C105,Hudson-Parks,Healthcare,Melanie Nguyen,2024-06-20
C106,Chase-Peterson,Retail,Henry Rosales,2024-08-29
C107,Nelson and Sons,E-commerce,Kelly Thomas PhD,2022-01-19
C108,Ramirez-Johnson,Education,Joshua Jimenez,2021-07-21
C109,"Cross, Lawrence and Phillips",Finance,Victoria Marquez,2021-05-06
C110,Munoz PLC,E-commerce,Matthew Young,2021-09-21
C111,Collins-Hunter,Education,Timothy Avery,2023-03-17
C112,Scott Ltd,Consulting,Suzanne Jones,2023-05-07
C113,"Young, Smith and Flores",Tech,Steven Griffith,2023-05-02
